days,United Kingdom,"Korea, South",Italy,Sweden,Spain,Ecuador,Germany,France,Norway,Denmark,USA,New York
86,60.0,0.0,145.0,20.0,2.0,21.0,39.0,263.0,1.0,4.0,592.0,56.0
87,86.0,1.0,99.0,77.0,2.0,48.0,33.0,347.0,0.0,0.0,677.0,70.0
88,249.0,0.0,162.0,17.0,4.0,30.0,23.0,83.0,0.0,0.0,1462.0,67.0
89,254.0,0.0,161.0,3.0,2.0,0.0,15.0,349.0,3.0,0.0,1101.0,55.0
90,130.0,1.0,156.0,35.0,0.0,108.0,12.0,102.0,0.0,1.0,1133.0,80.0
91,258.0,0.0,130.0,23.0,0.0,46.0,10.0,96.0,0.0,3.0,954.0,54.0
92,143.0,2.0,119.0,78.0,1.0,22.0,41.0,483.0,0.0,0.0,615.0,40.0
93,54.0,0.0,50.0,19.0,5.0,33.0,16.0,129.0,0.0,1.0,776.0,40.0
94,47.0,1.0,92.0,40.0,1.0,41.0,20.0,0.0,0.0,0.0,981.0,38.0
95,195.0,2.0,78.0,20.0,1.0,37.0,11.0,109.0,1.0,0.0,1010.0,39.0
96,164.0,0.0,117.0,0.0,1.0,80.0,10.0,82.0,1.0,2.0,1013.0,45.0
97,76.0,0.0,70.0,17.0,0.0,69.0,8.0,148.0,0.0,0.0,891.0,49.0
98,131.0,0.0,87.0,48.0,0.0,0.0,6.0,86.0,0.0,0.0,642.0,23.0
99,107.0,0.0,111.0,102.0,0.0,67.0,13.0,0.0,0.0,0.0,459.0,45.0
100,27.0,1.0,75.0,12.0,0.0,0.0,31.0,89.0,4.0,2.0,507.0,50.0
101,29.0,1.0,60.0,0.0,0.0,51.0,24.0,137.0,0.0,1.0,913.0,36.0
102,120.0,1.0,55.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,876.0,31.0
103,110.0,1.0,71.0,0.0,0.0,69.0,8.0,66.0,0.0,0.0,830.0,28.0
104,67.0,0.0,88.0,0.0,0.0,63.0,0.0,51.0,0.0,1.0,829.0,46.0
105,84.0,0.0,85.0,108.0,0.0,18.0,4.0,57.0,0.0,0.0,735.0,30.0
106,71.0,0.0,72.0,48.0,0.0,5.0,15.0,31.0,0.0,0.0,344.0,32.0
107,31.0,0.0,53.0,21.0,0.0,73.0,14.0,29.0,0.0,1.0,396.0,6.0
108,14.0,0.0,65.0,50.0,1179.0,25.0,12.0,106.0,1.0,0.0,814.0,633.0
109,94.0,1.0,79.0,0.0,7.0,49.0,25.0,81.0,1.0,1.0,739.0,15.0
110,87.0,2.0,71.0,0.0,1.0,63.0,3.0,44.0,0.0,0.0,689.0,23.0
111,99.0,0.0,53.0,0.0,1.0,61.0,0.0,45.0,0.0,0.0,629.0,22.0
112,77.0,1.0,56.0,53.0,1.0,69.0,8.0,31.0,0.0,0.0,559.0,24.0
113,40.0,0.0,78.0,37.0,2.0,12.0,14.0,13.0,0.0,0.0,317.0,35.0
114,31.0,0.0,44.0,41.0,3.0,40.0,5.0,54.0,0.0,1.0,407.0,16.0
115,21.0,0.0,26.0,9.0,8.0,52.0,11.0,85.0,0.0,2.0,748.0,23.0
116,53.0,1.0,34.0,0.0,3.0,0.0,4.0,21.0,0.0,0.0,737.0,11.0
117,97.0,1.0,43.0,0.0,2.0,27.0,10.0,27.0,1.0,0.0,537.0,34.0
118,41.0,1.0,66.0,0.0,3.0,39.0,3.0,28.0,0.0,0.0,629.0,25.0
119,49.0,0.0,47.0,27.0,9.0,92.0,0.0,24.0,0.0,0.0,503.0,15.0
120,32.0,0.0,49.0,35.0,9.0,16.0,10.0,8.0,0.0,0.0,318.0,10.0
121,19.0,0.0,24.0,18.0,4.0,16.0,14.0,28.0,1.0,1.0,385.0,46.0
122,11.0,0.0,23.0,26.0,17.0,67.0,11.0,112.0,0.0,0.0,553.0,17.0
123,54.0,1.0,18.0,0.0,0.0,28.0,6.0,25.0,0.0,0.0,704.0,23.0
124,57.0,0.0,0.0,0.0,0.0,49.0,7.0,28.0,1.0,0.0,713.0,18.0
125,31.0,1.0,34.0,0.0,3.0,43.0,1.0,14.0,1.0,1.0,670.0,14.0
126,34.0,0.0,30.0,19.0,4.0,32.0,3.0,16.0,0.0,0.0,315.0,20.0
127,17.0,0.0,8.0,27.0,4.0,31.0,4.0,5.0,0.0,0.0,326.0,20.0
128,9.0,0.0,22.0,21.0,5.0,5.0,2.0,22.0,0.0,0.0,376.0,16.0
129,10.0,0.0,6.0,26.0,2.0,48.0,7.0,54.0,0.0,0.0,1162.0,15.0
130,44.0,0.0,23.0,0.0,0.0,52.0,1.0,11.0,0.0,0.0,825.0,10.0
131,26.0,0.0,21.0,0.0,0.0,21.0,3.0,17.0,0.0,1.0,1020.0,42.0
132,24.0,0.0,30.0,0.0,3.0,29.0,1.0,25.0,0.0,1.0,817.0,8.0
133,26.0,0.0,15.0,27.0,3.0,39.0,2.0,0.0,0.0,0.0,728.0,17.0
134,9.0,1.0,21.0,21.0,4.0,8.0,5.0,0.0,0.0,0.0,472.0,10.0
135,11.0,0.0,7.0,9.0,3.0,17.0,3.0,32.0,0.0,0.0,445.0,17.0
136,10.0,1.0,8.0,21.0,4.0,52.0,8.0,27.0,0.0,0.0,928.0,11.0
137,25.0,1.0,30.0,0.0,0.0,39.0,10.0,18.0,0.0,1.0,975.0,9.0
138,17.0,0.0,15.0,0.0,0.0,34.0,4.0,13.0,0.0,1.0,956.0,20.0
139,9.0,2.0,12.0,0.0,2.0,45.0,0.0,18.0,0.0,0.0,924.0,10.0
140,32.0,1.0,12.0,5.0,2.0,34.0,1.0,0.0,0.0,0.0,857.0,18.0
141,15.0,0.0,7.0,28.0,2.0,0.0,6.0,0.0,0.0,0.0,480.0,11.0
142,8.0,1.0,9.0,9.0,3.0,31.0,4.0,26.0,1.0,1.0,563.0,12.0
143,3.0,0.0,13.0,4.0,3.0,41.0,9.0,9.0,0.0,0.0,1091.0,9.0
144,21.0,0.0,17.0,0.0,0.0,39.0,3.0,30.0,0.0,0.0,1224.0,9.0
145,34.0,0.0,13.0,0.0,0.0,30.0,7.0,13.0,0.0,1.0,1070.0,0.0
146,0.0,2.0,20.0,0.0,2.0,20.0,0.0,24.0,0.0,0.0,1107.0,7.0
147,20.0,2.0,11.0,4.0,2.0,19.0,0.0,0.0,0.0,0.0,930.0,9.0
148,13.0,1.0,14.0,13.0,5.0,6.0,9.0,0.0,0.0,0.0,531.0,9.0
149,5.0,1.0,3.0,6.0,2.0,10.0,16.0,20.0,0.0,3.0,1126.0,7.0
150,1.0,1.0,13.0,0.0,2.0,19.0,2.0,0.0,0.0,1.0,1330.0,11.0
151,18.0,0.0,15.0,0.0,0.0,33.0,14.0,86.0,0.0,0.0,1414.0,12.0
152,14.0,1.0,9.0,0.0,0.0,26.0,6.0,16.0,1.0,0.0,1231.0,15.0
153,18.0,0.0,10.0,0.0,27.0,20.0,1.0,13.0,4.0,0.0,1237.0,8.0
154,12.0,1.0,5.0,7.0,26.0,35.0,1.0,0.0,0.0,0.0,1093.0,7.0
155,3.0,0.0,5.0,4.0,1.0,5.0,5.0,0.0,0.0,0.0,437.0,10.0
156,5.0,0.0,5.0,2.0,1.0,13.0,5.0,22.0,0.0,0.0,581.0,11.0
157,18.0,1.0,5.0,7.0,3.0,22.0,4.0,0.0,1.0,0.0,1282.0,11.0
158,13.0,1.0,11.0,0.0,0.0,41.0,13.0,6.0,0.0,0.0,1438.0,5.0
159,20.0,0.0,6.0,0.0,0.0,54.0,5.0,10.0,2.0,0.0,1244.0,0.0
160,18.0,0.0,3.0,0.0,73.0,48.0,0.0,9.0,0.0,0.0,1237.0,5.0
161,11.0,1.0,9.0,7.0,5.0,29.0,1.0,0.0,0.0,1.0,1078.0,8.0
162,3.0,0.0,5.0,12.0,0.0,33.0,5.0,0.0,0.0,0.0,523.0,18.0
163,5.0,0.0,8.0,3.0,26.0,12.0,8.0,16.0,0.0,1.0,636.0,7.0
164,3.0,0.0,12.0,5.0,12.0,46.0,14.0,12.0,0.0,0.0,1020.0,6.0
165,12.0,0.0,5.0,0.0,0.0,42.0,3.0,13.0,0.0,0.0,1499.0,4.0
166,16.0,1.0,10.0,0.0,0.0,61.0,6.0,16.0,0.0,1.0,1067.0,8.0
167,6.0,0.0,6.0,0.0,29.0,33.0,3.0,11.0,0.0,0.0,1336.0,8.0
168,2.0,1.0,3.0,4.0,24.0,33.0,1.0,0.0,0.0,0.0,1000.0,7.0
169,18.0,1.0,13.0,3.0,127.0,18.0,5.0,0.0,0.0,0.0,617.0,12.0
170,6.0,1.0,2.0,3.0,16.0,1.0,4.0,29.0,0.0,0.0,492.0,7.0
171,4.0,0.0,4.0,1.0,25.0,15.0,5.0,1.0,0.0,1.0,1226.0,10.0
