days,United Kingdom,"Korea, South",Italy,Sweden,Spain,Ecuador,Germany,France,Norway,Denmark,USA,New York
94,40686.0,267.0,32877.0,4874.0,27134.0,3970.0,8772.0,27976,242.0,598.0,109117.0,30683.0
95,40975.0,269.0,32955.0,4874.0,27135.0,4007.0,8783.0,28084,243.0,598.0,110128.0,30722.0
96,41225.0,269.0,33072.0,4891.0,27136.0,4087.0,8793.0,28167,244.0,600.0,111151.0,30767.0
97,41377.0,269.0,33142.0,4939.0,27136.0,4156.0,8801.0,28241,244.0,600.0,112100.0,30816.0
98,41581.0,269.0,33229.0,5041.0,27136.0,4156.0,8807.0,28284,244.0,600.0,112787.0,30839.0
99,41764.0,269.0,33340.0,5053.0,27136.0,4223.0,8820.0,28317,244.0,600.0,113234.0,30884.0
100,41800.0,270.0,33415.0,5105.0,27136.0,4223.0,8851.0,28407,248.0,602.0,113747.0,30934.0
101,41838.0,271.0,33475.0,5109.0,27136.0,4274.0,8875.0,28480,248.0,603.0,114692.0,30970.0
102,42074.0,272.0,33530.0,5111.0,27136.0,4274.0,8887.0,28546,249.0,603.0,115610.0,31001.0
103,42258.0,273.0,33601.0,5122.0,27136.0,4343.0,8895.0,28611,249.0,603.0,116498.0,31029.0
104,42395.0,273.0,33689.0,5161.0,27136.0,4406.0,8895.0,28663,249.0,604.0,117330.0,31075.0
105,42568.0,273.0,33774.0,5209.0,27136.0,4424.0,8899.0,28720,249.0,604.0,118093.0,31105.0
106,42698.0,273.0,33846.0,5230.0,27136.0,4429.0,8914.0,28751,249.0,604.0,118401.0,31137.0
107,42741.0,273.0,33899.0,5280.0,27136.0,4502.0,8928.0,28779,249.0,605.0,118792.0,31143.0
108,42756.0,273.0,33964.0,5280.0,28315.0,4527.0,8940.0,28886,250.0,605.0,119635.0,31776.0
109,42927.0,274.0,34043.0,5280.0,28322.0,4576.0,8965.0,28967,251.0,606.0,120387.0,31791.0
110,43081.0,276.0,34114.0,5310.0,28323.0,4639.0,8968.0,29010,251.0,606.0,121097.0,31814.0
111,43230.0,276.0,34167.0,5333.0,28324.0,4700.0,8968.0,29056,251.0,606.0,121769.0,31836.0
112,43414.0,277.0,34223.0,5370.0,28325.0,4769.0,8976.0,29087,251.0,606.0,122382.0,31860.0
113,43514.0,277.0,34301.0,5411.0,28327.0,4781.0,8990.0,29100,251.0,606.0,122666.0,31895.0
114,43550.0,277.0,34345.0,5420.0,28330.0,4821.0,8995.0,29153,251.0,607.0,123053.0,31911.0
115,43575.0,277.0,34371.0,5420.0,28338.0,4873.0,9006.0,29237,251.0,609.0,123900.0,31934.0
116,43730.0,278.0,34405.0,5420.0,28341.0,4873.0,9010.0,29260,251.0,609.0,124664.0,31945.0
117,43906.0,279.0,34448.0,5433.0,28343.0,4900.0,9020.0,29287,252.0,609.0,125223.0,31979.0
118,43995.0,280.0,34514.0,5447.0,28346.0,4939.0,9023.0,29315,252.0,609.0,125835.0,32004.0
119,44131.0,280.0,34561.0,5482.0,28355.0,5031.0,9022.0,29339,252.0,609.0,126335.0,32019.0
